Trimestre;Sentido transacción;Ramas actividad;Código (armonización según CNAE y CNPA);Evolución trimestral del volumen de negocio (€)
2013T4;Dentro de España;Actividades anexas al transporte;5221 + 5223;2531590,61
2013T4;Dentro de España;Actividades cinematográficas y de vídeo;5917 + 7722;14123176,03
2013T4;Dentro de España;Actividades deportivas y recreativas;93;13455701,53
2013T4;Dentro de España;Administración pública, impuestos y seg. Social;8411;79934849,71
2013T4;Dentro de España;Agencias de viajes y operadores turísticos;7911 + 7912;212952420,63
2013T4;Dentro de España;Alquiler de aeronaves;7735;53502,02
2013T4;Dentro de España;Alquiler de automóviles;7711;2606925,47
2013T4;Dentro de España;Alquiler de efectos personales y enseres domésticos;7729;26,51
2013T4;Dentro de España;Alquiler de medios de navegación;7734;31893,13
2013T4;Dentro de España;Arquitectura e ingeniería;7111;926369,23
2013T4;Dentro de España;Artículos de regalo;4778;22329837,4
2013T4;Dentro de España;Artículos médicos y ortopédicos;4774;1275,26
2013T4;Dentro de España;Asociacionismo y beneficencia;94;10057564,02
2013T4;Dentro de España;Bebidas;4725;42723,01
2013T4;Dentro de España;Bibliotecas, museos y patrimonio cultural;91;1633919,38
2013T4;Dentro de España;Bienes de segunda mano;4779;13851,46
2013T4;Dentro de España;Calzado y artículos de cuero;4772;7066948,98
2013T4;Dentro de España;Carburantes para automoción;4730;834746,84
2013T4;Dentro de España;Componentes y equipos electrónicos;4652;12668,07
2013T4;Dentro de España;Construcción de inmuebles y obras de ingeniería civil;41;59,31
2013T4;Dentro de España;Descargas de aplicaciones y contenidos y otros servicios de gestión;6312 + 6920;293284,02
2013T4;Dentro de España;Discos, libros, periódicos y papelería;4761 + 4763;24742592,12
2013T4;Dentro de España;Educación;85;19662353,19
2013T4;Dentro de España;Electrodomésticos,  imagen y sonido;4743+4754;66707364,09
2013T4;Dentro de España;Energía eléctrica, gas, vapor y aire acondicionado;35;27191,58
2013T4;Dentro de España;Ensayos y análisis técnicos;7120;430,5
2013T4;Dentro de España;Equipos de telecomunicaciones y recargas telefónicas;61 + 4742;35951326,49
2013T4;Dentro de España;Equipos y mobiliario de oficina;4665+4666;1569,9
2013T4;Dentro de España;Espectáculos artísticos, deportivos y recreativos;90 + 7990;163555319,64
2013T4;Dentro de España;Ferretería, pinturas y vidrio;4674 + 4752;4576270,46
2013T4;Dentro de España;Floristerías;4622;32,56
2013T4;Dentro de España;Galerías de arte comerciales;470069;5087725,58
2013T4;Dentro de España;Grandes almacenes;4719;11219487,79
